# The kACE feed: which tenors are posted as pillars, and the ATM bid/offer
# width at each, in volatility points.  Read by volkit/kace.py.
#
# The tenors listed for a pair are exactly the pillars posted for it, so a
# pair with no rows here cannot be posted, and a tenor listed here with no
# wing marks in the workbook is refused by name.  O/N is the one-day option
# and borrows the shortest quoted tenor's wings.
#
# A day between two pillars takes the spread of the earlier one; a day before
# the O/N expiry takes O/N's.  These rows are the USDCNH sheet's column L.
pair,tenor,spread
USDCNH,O/N,1.0
USDCNH,1W,0.8
USDCNH,2W,0.6
USDCNH,1M,0.4
USDCNH,2M,0.3
USDCNH,3M,0.3
USDCNH,6M,0.2
USDCNH,9M,0.2
USDCNH,1Y,0.2
